12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_DebugOn(): runtime trace is ON now. (FlashToolLib/sv5/common/interface/src/brom_debug.cpp:71)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: DEBUG: PrintOSVersion(): Microsoft Windows 7. (FlashToolLib/host/windows/host_impl.cpp:543)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: ================================================================================================================================== (FlashToolLib/host/windows/host_impl.cpp:312)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): BROM_DLL_v7.1516.05 [Official-Build](Release Version)                                                                    (FlashToolLib/host/windows/host_impl.cpp:313)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): Build-Date: 2016/08/05 00:10:48                                                                                  (FlashToolLib/host/windows/host_impl.cpp:314)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): LoadPath:   e:\21 nexus 6\nexus  20\androidmtk\androidmtk\FLASHTOOLLIB.DLL                                       (FlashToolLib/host/windows/host_impl.cpp:315)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): Build-info: D:\home\mtk07255\4NRelease\Project\WCP2_CleanRoom\DA\Download_Agent_Main                             (FlashToolLib/host/windows/host_impl.cpp:316)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): Change List: 294143 (FlashToolLib/host/windows/host_impl.cpp:318)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: Brom_GetDLLInfo(): Build Owner: st (FlashToolLib/host/windows/host_impl.cpp:319)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: ================================================================================================================================== (FlashToolLib/host/windows/host_impl.cpp:320)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: FlashDeviceNameMap::DumpDebug():   (FlashToolLib/sv5/modules/nand/src/flash_device_tbl.cpp:595)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[0] [SAMSUNG] K9F5608Q0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[1] [SAMSUNG] K9F5608X0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[2] [SAMSUNG] K9F5616Q0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[3] [SAMSUNG] K9F5616X0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[4] [SAMSUNG] K9K1208X0C                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[5] [SAMSUNG] K9K1G08X0A                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[6] [SAMSUNG] K9F1G08Q0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[7] [SAMSUNG] K9F1G08X0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[8] [SAMSUNG] K9F1G16Q0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[9] [SAMSUNG] K9F1G16X0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[10] [SAMSUNG] K9F2G08X0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[11] [SAMSUNG] K9F2G16X0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[12] [SAMSUNG] K9F2G08R0A                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[13] [SAMSUNG] K9K4G08Q0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[14] [SAMSUNG] K9K4G08U0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[15] [SAMSUNG] K9K4G16Q0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[16] [SAMSUNG] K9K4G16U0M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[17] [KINGSTON] KTN0403CS_TCR1                (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[18] [KINGSTON] KSLCGBL2GA2H2A                (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[20] [KINGSTON]KSLCBBL1FB4G3A                 (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[21] [TOSHIBA] TC58DVM82A1FT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[22] [TOSHIBA] TC58DVM92A1FT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[23] [TOSHIBA] TC58DVG02A1FT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[24] [TOSHIBA] TC58NVG0S3AFT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[25] [TOSHIBA] TH58NVG1S3AFT                  (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[26] [HYNIX] HY27XS08561M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[27] [HYNIX] HY27XS08121M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[28] [HYNIX] HY27XA081G1M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[29] [HYNIX] HY27XA161G1M                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[30] [ST] ST128W3A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.186 BROM_DLL[5904][2632]: 	[31] [ST] ST128W4A                            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
